,nro_inscripcion,sexo,nacionalidad,edad,regular,cnt_readmisiones,calidad,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres,inactividad
1300,FCEQN-6421,1,1.0,38,N,2.0,P,1.0,NC,-1.0,-1,1.0,2
1301,FCEQN-6422,1,1.0,41,S,1.0,A,2.0,NC,-1.0,-1,1.0,0
1302,FCEQN-6423,2,1.0,28,S,1.0,A,1.0,NC,1.0,1,5.0,4
1303,FCEQN-6424,1,1.0,28,S,1.0,A,1.0,NC,-1.0,-1,-1.0,5
1304,FCEQN-6425,1,1.0,30,S,1.0,A,1.0,NC,1.0,1,5.0,5
1305,FCEQN-6427,1,1.0,25,N,1.0,P,1.0,NC,-1.0,-1,-1.0,4
1306,FCEQN-6428,2,1.0,31,N,0.0,P,1.0,NC,-1.0,-1,1.0,5
1307,FCEQN-6034,2,1.0,26,N,2.0,P,1.0,NC,1.0,4,5.0,5
1308,FCEQN-6429,2,1.0,35,S,2.0,P,1.0,NC,-1.0,-1,-1.0,0
1309,FCEQN-6430,1,1.0,25,S,0.0,P,1.0,NC,-1.0,3,4.0,4
1310,FCEQN-6431,1,1.0,28,S,1.0,P,1.0,NC,4.0,1,5.0,1
1311,FCEQN-6432,1,1.0,34,S,2.0,A,1.0,NC,1.0,-1,-1.0,1
1312,FCEQN-6029,2,2.0,28,N,0.0,P,1.0,NC,2.0,-1,1.0,1
1313,FCEQN-6444,2,1.0,29,S,2.0,A,1.0,NC,2.0,4,4.0,1
1314,FCEQN-6061,1,1.0,25,S,0.0,P,1.0,NC,-1.0,-1,-1.0,1
1315,FCEQN-5986,1,1.0,26,N,1.0,P,1.0,NC,3.0,-1,1.0,4
1316,FCEQN-5998,2,1.0,50,S,1.0,A,4.0,NC,1.0,-1,1.0,1
1317,FCEQN-6252,2,1.0,26,N,1.0,P,1.0,NC,-1.0,-1,1.0,1
1318,FCEQN-5993,2,1.0,26,N,0.0,P,1.0,NC,-1.0,-1,-1.0,2
1319,FCEQN-5969,2,1.0,26,S,1.0,A,1.0,NC,3.0,-1,1.0,0
1320,FCEQN-6072,1,1.0,26,N,0.0,A,1.0,NC,-1.0,-1,1.0,3
1321,FCEQN-6370,1,1.0,26,S,0.0,A,1.0,NC,-1.0,4,3.0,2
1322,FCEQN-6224,2,1.0,25,S,2.0,A,1.0,NC,1.0,-1,1.0,4
1323,FCEQN-6090,2,1.0,26,N,0.0,P,1.0,NC,-1.0,-1,-1.0,1
1324,FCEQN-6086,2,1.0,26,S,1.0,A,1.0,NC,2.0,4,3.0,0
1325,FCEQN-6445,2,1.0,26,N,1.0,P,1.0,NC,2.0,-1,-1.0,4
1326,FCEQN-6237,1,1.0,25,S,1.0,A,1.0,NC,-1.0,-1,1.0,6
1327,FCEQN-6446,1,2.0,31,S,2.0,A,1.0,NC,2.0,-1,1.0,6
1328,FCEQN-5843,2,1.0,36,S,2.0,A,2.0,NC,1.0,-1,1.0,3
1329,FCEQN-6131,2,1.0,26,S,2.0,A,1.0,NC,-1.0,-1,1.0,4
1330,FCEQN-5996,2,1.0,25,N,1.0,P,1.0,NC,1.0,-1,1.0,0
